algorithm,error_rate,runtime_sec,K,S,H,T,requested_traj_per_user,n_traj_per_user,n_effective_transitions_per_user,repeat,run_seed
mdpmix_original_em_th5e-06,0.808,0.09399620443582535,10,100,10,750,75,75,750,21,12137
mdpmix_original_clust_th1e-05,0.8260000000000001,10.082338232547045,10,100,10,750,75,75,750,21,12137
mdpmix_original_em_th1e-05,0.832,0.06951466389000416,10,100,10,750,75,75,750,21,12137
ours_stage1,0.536,167.96815430559218,10,100,10,750,75,75,750,22,12138
ours_stage1plus2_em10,0.52,15.19440645724535,10,100,10,750,75,75,750,22,12138
mdpmix_original_clust_th1e-06,0.812,13.99671439267695,10,100,10,750,75,75,750,22,12138
mdpmix_original_em_th1e-06,0.8186666666666667,0.3558366075158119,10,100,10,750,75,75,750,22,12138
mdpmix_original_clust_th5e-06,0.8140000000000001,18.28583152219653,10,100,10,750,75,75,750,22,12138
mdpmix_original_em_th5e-06,0.8146666666666667,0.19709167629480362,10,100,10,750,75,75,750,22,12138
mdpmix_original_clust_th1e-05,0.8180000000000001,18.037837771698833,10,100,10,750,75,75,750,22,12138
mdpmix_original_em_th1e-05,0.8226666666666667,0.13634162582457066,10,100,10,750,75,75,750,22,12138
ours_stage1,0.5186666666666666,230.5547845941037,10,100,10,750,75,75,750,23,12139
ours_stage1plus2_em10,0.4946666666666667,5.788598459213972,10,100,10,750,75,75,750,23,12139
mdpmix_original_clust_th1e-06,0.808,16.234530521556735,10,100,10,750,75,75,750,23,12139
mdpmix_original_em_th1e-06,0.8280000000000001,0.35889967158436775,10,100,10,750,75,75,750,23,12139
mdpmix_original_clust_th5e-06,0.808,18.384261747822165,10,100,10,750,75,75,750,23,12139
mdpmix_original_em_th5e-06,0.8280000000000001,0.1823772881180048,10,100,10,750,75,75,750,23,12139
mdpmix_original_clust_th1e-05,0.806,16.029240764677525,10,100,10,750,75,75,750,23,12139
mdpmix_original_em_th1e-05,0.8160000000000001,0.34002996422350407,10,100,10,750,75,75,750,23,12139
ours_stage1,0.492,149.62270646169782,10,100,10,750,75,75,750,24,12140
ours_stage1plus2_em10,0.472,1.9812300559133291,10,100,10,750,75,75,750,24,12140
mdpmix_original_clust_th1e-06,0.792,18.809927375987172,10,100,10,750,75,75,750,24,12140
mdpmix_original_em_th1e-06,0.7773333333333333,0.11676639877259731,10,100,10,750,75,75,750,24,12140
mdpmix_original_clust_th5e-06,0.8280000000000001,11.230359818786383,10,100,10,750,75,75,750,24,12140
mdpmix_original_em_th5e-06,0.8306666666666667,0.08780686184763908,10,100,10,750,75,75,750,24,12140
mdpmix_original_clust_th1e-05,0.8260000000000001,13.976692825555801,10,100,10,750,75,75,750,24,12140
mdpmix_original_em_th1e-05,0.844,0.05913431569933891,10,100,10,750,75,75,750,24,12140
ours_stage1,0.536,205.4423791412264,10,100,10,750,75,75,750,25,12141
ours_stage1plus2_em10,0.5133333333333333,5.107987653464079,10,100,10,750,75,75,750,25,12141
mdpmix_original_clust_th1e-06,0.8160000000000001,18.483703119680285,10,100,10,750,75,75,750,25,12141
mdpmix_original_em_th1e-06,0.7946666666666666,0.3512301631271839,10,100,10,750,75,75,750,25,12141
mdpmix_original_clust_th5e-06,0.8260000000000001,18.598646599799395,10,100,10,750,75,75,750,25,12141
mdpmix_original_em_th5e-06,0.808,0.0957438312470913,10,100,10,750,75,75,750,25,12141
mdpmix_original_clust_th1e-05,0.842,12.969566663727164,10,100,10,750,75,75,750,25,12141
mdpmix_original_em_th1e-05,0.856,0.10264316387474537,10,100,10,750,75,75,750,25,12141
ours_stage1,0.492,217.02640293724835,10,100,10,750,75,75,750,26,12142
ours_stage1plus2_em10,0.472,8.749571500346065,10,100,10,750,75,75,750,26,12142
mdpmix_original_clust_th1e-06,0.834,25.961916472762823,10,100,10,750,75,75,750,26,12142
mdpmix_original_em_th1e-06,0.852,0.5159923825412989,10,100,10,750,75,75,750,26,12142
mdpmix_original_clust_th5e-06,0.836,12.479659043252468,10,100,10,750,75,75,750,26,12142
mdpmix_original_em_th5e-06,0.8546666666666667,0.149851992726326,10,100,10,750,75,75,750,26,12142
mdpmix_original_clust_th1e-05,0.842,9.242555322125554,10,100,10,750,75,75,750,26,12142
mdpmix_original_em_th1e-05,0.86,0.08701111190021038,10,100,10,750,75,75,750,26,12142
ours_stage1,0.524,253.88224458694458,10,100,10,750,75,75,750,27,12143
ours_stage1plus2_em10,0.5,9.53541793487966,10,100,10,750,75,75,750,27,12143
mdpmix_original_clust_th1e-06,0.782,15.015071572735906,10,100,10,750,75,75,750,27,12143
mdpmix_original_em_th1e-06,0.768,0.28307568095624447,10,100,10,750,75,75,750,27,12143
mdpmix_original_clust_th5e-06,0.8180000000000001,13.36670482903719,10,100,10,750,75,75,750,27,12143
mdpmix_original_em_th5e-06,0.808,0.1296943761408329,10,100,10,750,75,75,750,27,12143
mdpmix_original_clust_th1e-05,0.8280000000000001,10.709152907133102,10,100,10,750,75,75,750,27,12143
mdpmix_original_em_th1e-05,0.8453333333333333,0.10443941690027714,10,100,10,750,75,75,750,27,12143
ours_stage1,0.5173333333333333,194.02979985065758,10,100,10,750,75,75,750,28,12144
