q,H,metric,mean,lo,hi
0.03,400,oracle,0.21866666666666665,0.20999999999999996,0.22783333333333333
0.03,400,stage1,0.4668333333333333,0.45866666666666667,0.474
0.03,400,stage2,0.36950000000000005,0.33916666666666667,0.3996708333333333
0.03,500,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,500,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,500,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,500,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,500,oracle,0.19,0.183,0.19816666666666669
0.03,500,stage1,0.46933333333333327,0.46199999999999997,0.47633333333333316
0.03,500,stage2,0.26616666666666666,0.24366666666666661,0.293
0.03,600,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,600,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,600,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,600,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,600,oracle,0.1631666666666667,0.1536666666666667,0.17233333333333337
0.03,600,stage1,0.4755,0.46716666666666656,0.4826666666666666
0.03,600,stage2,0.24166666666666667,0.21133333333333332,0.2768333333333333
0.03,700,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,700,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,700,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,700,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,700,oracle,0.142,0.13283333333333333,0.15050000000000002
0.03,700,stage1,0.4721666666666667,0.46649999999999997,0.47750000000000004
0.03,700,stage2,0.1996666666666667,0.17366666666666666,0.23233333333333336
0.03,800,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,800,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,800,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,800,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,800,oracle,0.12766666666666668,0.12066666666666669,0.13483333333333333
0.03,800,stage1,0.46849999999999997,0.46049999999999996,0.4765
0.03,800,stage2,0.18883333333333335,0.15433333333333335,0.22950416666666662
0.03,900,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,900,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,900,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,900,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,900,oracle,0.10816666666666666,0.09933333333333334,0.11700000000000002
0.03,900,stage1,0.4758333333333332,0.46782916666666663,0.4833333333333333
0.03,900,stage2,0.12966666666666668,0.119,0.14083333333333334
0.03,1000,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1000,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1000,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1000,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1000,oracle,0.10166666666666666,0.09400000000000001,0.10966666666666666
0.03,1000,stage1,0.46616666666666656,0.4581666666666667,0.47383333333333333
0.03,1000,stage2,0.11516666666666667,0.10766666666666665,0.12299999999999997
0.03,1100,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1100,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1100,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1100,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1100,oracle,0.08249999999999996,0.07683333333333331,0.08849999999999998
0.03,1100,stage1,0.4684999999999999,0.45699999999999996,0.47866666666666663
0.03,1100,stage2,0.09899999999999998,0.09383333333333328,0.10433333333333332
0.03,1200,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1200,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1200,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1200,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1200,oracle,0.0705,0.06366666666666668,0.07799999999999999
0.03,1200,stage1,0.4731666666666666,0.46649999999999997,0.4789999999999999
0.03,1200,stage2,0.08033333333333333,0.074,0.0868333333333333
0.03,1300,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1300,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1300,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1300,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1300,oracle,0.059000000000000004,0.052500000000000005,0.06566666666666664
0.03,1300,stage1,0.47550000000000003,0.46799999999999997,0.4816666666666667
0.03,1300,stage2,0.07166666666666668,0.06366666666666669,0.08133749999999995
0.03,1400,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1400,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1400,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1400,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1400,oracle,0.05833333333333335,0.05333333333333335,0.06366666666666666
0.03,1400,stage1,0.4711666666666666,0.4626666666666666,0.4786666666666666
0.03,1400,stage2,0.06749999999999999,0.06200000000000001,0.07299999999999998
0.03,1500,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1500,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1500,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1500,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1500,oracle,0.04950000000000002,0.044500000000000026,0.054333333333333345
0.03,1500,stage1,0.4751666666666666,0.4681666666666666,0.48166666666666663
0.03,1500,stage2,0.05816666666666667,0.053000000000000026,0.06316666666666666
0.03,1600,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1600,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1600,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1600,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1600,oracle,0.04816666666666668,0.04250000000000001,0.05416666666666667
0.03,1600,stage1,0.4719999999999999,0.46316666666666667,0.4799999999999999
0.03,1600,stage2,0.05216666666666667,0.045666666666666696,0.05833333333333331
0.03,1700,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1700,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,1700,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,1700,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,1700,oracle,0.04350000000000003,0.038833333333333366,0.04800000000000004
0.03,1700,stage1,0.4681666666666667,0.4591625,0.4764999999999999
0.03,1700,stage2,0.04933333333333335,0.044000000000000025,0.05483333333333335
0.03,1800,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
