T,H,algo,mean,lo,hi
100,600,known_stage1,0.0,0.0,0.0
100,600,oracle,0.0,0.0,0.0
100,600,unknown_c11e-01_c21e-01_em10,0.6136666666666668,0.604,0.6226666666666668
100,600,unknown_c11e-01_c21e-01_stage1,0.6136666666666668,0.6043333333333334,0.6226666666666667
100,600,unknown_c11e-01_c21e-02_em10,0.6136666666666668,0.6036666666666668,0.6229999999999998
100,600,unknown_c11e-01_c21e-02_stage1,0.6136666666666668,0.6039999999999999,0.6226666666666667
100,600,unknown_c11e-01_c21e-03_em10,0.6136666666666668,0.6043333333333333,0.6226666666666668
100,600,unknown_c11e-01_c21e-03_stage1,0.6136666666666668,0.6040000000000002,0.6226666666666667
100,600,unknown_c11e-01_c25e-02_em10,0.6136666666666668,0.6040000000000002,0.6226666666666667
100,600,unknown_c11e-01_c25e-02_stage1,0.6136666666666668,0.6040000000000002,0.623
100,600,unknown_c11e-01_c25e-03_em10,0.6136666666666668,0.604,0.6223416666666667
100,600,unknown_c11e-01_c25e-03_stage1,0.6136666666666668,0.6043333333333334,0.6226666666666667
100,600,unknown_c11e-02_c21e-01_em10,0.6136666666666668,0.604,0.6229999999999999
100,600,unknown_c11e-02_c21e-01_stage1,0.6136666666666668,0.6039999999999999,0.6226666666666668
100,600,unknown_c11e-02_c21e-02_em10,0.6136666666666668,0.604,0.6226666666666668
100,600,unknown_c11e-02_c21e-02_stage1,0.6136666666666668,0.6046666666666667,0.6229999999999999
100,600,unknown_c11e-02_c21e-03_em10,0.6136666666666668,0.6043333333333333,0.6226666666666668
100,600,unknown_c11e-02_c21e-03_stage1,0.6136666666666668,0.6040000000000002,0.6226666666666668
100,600,unknown_c11e-02_c25e-02_em10,0.6136666666666668,0.6039999999999999,0.6223333333333334
100,600,unknown_c11e-02_c25e-02_stage1,0.6136666666666668,0.604,0.6226666666666668
100,600,unknown_c11e-02_c25e-03_em10,0.6136666666666668,0.6046666666666667,0.623
100,600,unknown_c11e-02_c25e-03_stage1,0.6136666666666668,0.604325,0.6226666666666666
100,600,unknown_c11e-03_c21e-01_em10,0.012333333333333344,0.007666666666666673,0.01766666666666668
100,600,unknown_c11e-03_c21e-01_stage1,0.10033333333333334,0.08700000000000001,0.11434166666666656
100,600,unknown_c11e-03_c21e-02_em10,0.01866666666666668,0.011666666666666678,0.026666666666666675
100,600,unknown_c11e-03_c21e-02_stage1,0.10566666666666664,0.09033333333333335,0.12199999999999998
100,600,unknown_c11e-03_c21e-03_em10,0.02133333333333335,0.01466666666666668,0.029000000000000015
100,600,unknown_c11e-03_c21e-03_stage1,0.10833333333333332,0.09266666666666667,0.12433333333333335
100,600,unknown_c11e-03_c25e-02_em10,0.01666666666666668,0.011666666666666678,0.02200000000000002
100,600,unknown_c11e-03_c25e-02_stage1,0.10366666666666666,0.08933333333333333,0.11866666666666666
100,600,unknown_c11e-03_c25e-03_em10,0.02066666666666668,0.01366666666666668,0.029000000000000015
100,600,unknown_c11e-03_c25e-03_stage1,0.10733333333333334,0.09233333333333334,0.12300000000000001
100,700,known_em10,0.0,0.0,0.0
100,700,known_stage1,0.0,0.0,0.0
100,700,oracle,0.0,0.0,0.0
100,700,unknown_c11e-01_c21e-01_em10,0.62,0.613,0.626675
100,700,unknown_c11e-01_c21e-01_stage1,0.62,0.613,0.6266666666666666
100,700,unknown_c11e-01_c21e-02_em10,0.62,0.6129999999999999,0.6266666666666666
100,700,unknown_c11e-01_c21e-02_stage1,0.62,0.613,0.627
100,700,unknown_c11e-01_c21e-03_em10,0.62,0.613,0.6266666666666667
100,700,unknown_c11e-01_c21e-03_stage1,0.62,0.6129999999999999,0.627
100,700,unknown_c11e-01_c25e-02_em10,0.62,0.6126666666666668,0.6266666666666667
100,700,unknown_c11e-01_c25e-02_stage1,0.62,0.613,0.6266666666666667
100,700,unknown_c11e-01_c25e-03_em10,0.62,0.6126666666666668,0.6266666666666667
100,700,unknown_c11e-01_c25e-03_stage1,0.62,0.6129999999999999,0.6266666666666667
100,700,unknown_c11e-02_c21e-01_em10,0.62,0.613,0.6266666666666668
100,700,unknown_c11e-02_c21e-01_stage1,0.62,0.6126666666666668,0.6266666666666667
100,700,unknown_c11e-02_c21e-02_em10,0.62,0.6129999999999999,0.6269999999999999
100,700,unknown_c11e-02_c21e-02_stage1,0.62,0.6126666666666668,0.6263416666666667
100,700,unknown_c11e-02_c21e-03_em10,0.62,0.613,0.627
100,700,unknown_c11e-02_c21e-03_stage1,0.62,0.6126666666666666,0.627
100,700,unknown_c11e-02_c25e-02_em10,0.62,0.6126666666666668,0.627
100,700,unknown_c11e-02_c25e-02_stage1,0.62,0.613,0.6269999999999999
100,700,unknown_c11e-02_c25e-03_em10,0.62,0.6126666666666668,0.6266666666666667
100,700,unknown_c11e-02_c25e-03_stage1,0.62,0.6126666666666669,0.6266666666666667
100,700,unknown_c11e-03_c21e-01_em10,0.014000000000000012,0.010333333333333342,0.018000000000000016
100,700,unknown_c11e-03_c21e-01_stage1,0.06633333333333334,0.05333333333333336,0.0796749999999999
100,700,unknown_c11e-03_c21e-02_em10,0.01733333333333335,0.012333333333333344,0.022666666666666686
100,700,unknown_c11e-03_c21e-02_stage1,0.0696666666666667,0.05566666666666668,0.08433333333333336
100,700,unknown_c11e-03_c21e-03_em10,0.01833333333333335,0.013333333333333345,0.023666666666666687
100,700,unknown_c11e-03_c21e-03_stage1,0.07066666666666667,0.057000000000000016,0.08566666666666668
100,700,unknown_c11e-03_c25e-02_em10,0.014333333333333345,0.010666666666666677,0.01833333333333335
100,700,unknown_c11e-03_c25e-02_stage1,0.0666666666666667,0.05366666666666667,0.07966666666666668
100,700,unknown_c11e-03_c25e-03_em10,0.018000000000000016,0.013000000000000012,0.023333333333333355
100,700,unknown_c11e-03_c25e-03_stage1,0.07033333333333334,0.05666666666666668,0.08433333333333334
100,800,known_em10,0.0,0.0,0.0
100,800,known_stage1,0.0,0.0,0.0
100,800,oracle,0.0,0.0,0.0
100,800,unknown_c11e-01_c21e-01_em10,0.6246666666666666,0.616,0.6326666666666667
