T,H,S,repeat,embedding_time,svd_time,clustering_time,refinement_time,total_time,error_stage1,error_stage2
100,500,40,28,0.005982004106044769,0.14574806578457355,0.002079041674733162,0.11645800620317459,0.2702671177685261,0.37,0.37
100,500,40,29,0.007553484290838242,0.176574919372797,0.010778840631246567,0.1165904849767685,0.3114977292716503,0.38,0.38
200,500,40,30,0.013299847021698952,0.3161068819463253,0.0017554797232151031,0.22782077826559544,0.5589829869568348,0.35,0.35
200,500,40,31,0.01133774034678936,0.3085302971303463,0.001967713236808777,0.22709370590746403,0.5489294566214085,0.30000000000000004,0.30000000000000004
200,500,40,32,0.012318268418312073,0.4252990819513798,0.001913430169224739,0.23502948135137558,0.6745602618902922,0.375,0.375
200,500,40,33,0.013748500496149063,0.4387597404420376,0.011434316635131836,0.23042058013379574,0.6943631377071142,0.30000000000000004,0.30000000000000004
200,500,40,34,0.01376710832118988,0.38189986906945705,0.0019101891666650772,0.2323121316730976,0.6298892982304096,0.4,0.4
200,500,40,35,0.013095390051603317,0.21519628912210464,0.010509960353374481,0.23228450305759907,0.4710861425846815,0.32499999999999996,0.32499999999999996
200,500,40,36,0.012561539188027382,0.40511433593928814,0.011538408696651459,0.2298747543245554,0.6590890381485224,0.36,0.36
200,500,40,37,0.014685790985822678,0.42873698472976685,0.0021184515208005905,0.3009683508425951,0.7465095780789852,0.31000000000000005,0.31000000000000005
200,500,40,38,0.011349968612194061,0.2011302150785923,0.0023043230175971985,0.23694797232747078,0.45173247903585434,0.36,0.36
200,500,40,39,0.014018192887306213,0.310576468706131,0.009782737120985985,0.224257105961442,0.5586345046758652,0.395,0.395
200,500,40,40,0.013748999685049057,0.18371610529720783,0.009769415482878685,0.2348372507840395,0.44207177124917507,0.31000000000000005,0.31000000000000005
200,500,40,41,0.01153852790594101,0.21284480765461922,0.002133263275027275,0.23459087125957012,0.4611074700951576,0.375,0.375
200,500,40,42,0.014177389442920685,0.3014392089098692,0.010207148268818855,0.23013729974627495,0.5559610463678837,0.35,0.35
200,500,40,43,0.01221521943807602,0.28199985437095165,0.010771047323942184,0.2325848713517189,0.5375709924846888,0.345,0.345
200,500,40,44,0.011406250298023224,0.370870990678668,0.001936390995979309,0.2240477241575718,0.6082613561302423,0.41500000000000004,0.41500000000000004
200,500,40,45,0.011168638244271278,0.1774756796658039,0.0024865418672561646,0.23011193051934242,0.4212427902966738,0.33499999999999996,0.33499999999999996
200,500,40,46,0.01180620864033699,0.35581587068736553,0.010806525126099586,0.22762302495539188,0.606051629409194,0.375,0.375
200,500,40,47,0.014051659032702446,0.31208464689552784,0.002544442191720009,0.23128697834908962,0.5599677264690399,0.32999999999999996,0.32999999999999996
200,500,40,48,0.01220126822590828,0.1816351618617773,0.011073367670178413,0.2362066525965929,0.4411164503544569,0.31000000000000005,0.31000000000000005
