T,H,S,repeat,embedding_time,svd_time,clustering_time,refinement_time,total_time,error_stage1,error_stage2
400,500,30,60,0.020647814497351646,0.12053463608026505,0.02435382641851902,0.4852471314370632,0.6507834084331989,0.07999999999999996,0.007499999999999951
400,500,30,61,0.023609627038240433,0.11779889278113842,0.016873162239789963,0.4820009917020798,0.6402826737612486,0.275,0.20750000000000002
400,500,30,62,0.023134905844926834,0.11700427159667015,0.01614673249423504,0.4873094968497753,0.6435954067856073,0.07999999999999996,0.015000000000000013
400,500,30,63,0.020670084282755852,0.11852855049073696,0.01702752336859703,0.4862396325916052,0.642465790733695,0.02749999999999997,0.007499999999999951
400,500,30,64,0.022240784019231796,0.11231532134115696,0.021053334698081017,0.4773322641849518,0.6329417042434216,0.09250000000000003,0.04249999999999998
400,500,30,65,0.01988818310201168,0.11455192230641842,0.01619230955839157,0.4783907886594534,0.6290232036262751,0.10250000000000004,0.022499999999999964
400,500,30,66,0.021154893562197685,0.12186398729681969,0.01660963147878647,0.47521273605525494,0.6348412483930588,0.057499999999999996,0.020000000000000018
400,500,30,67,0.020495105534791946,0.12303770706057549,0.017583811655640602,0.4740216750651598,0.6351382993161678,0.050000000000000044,0.010000000000000009
400,500,30,68,0.01968701183795929,0.1097037773579359,0.02046029455959797,0.40451252460479736,0.5543636083602905,0.27749999999999997,0.10250000000000004
400,500,30,69,0.021903526037931442,0.13572842441499233,0.01981508359313011,0.47381822392344475,0.6512652579694986,0.03500000000000003,0.010000000000000009
400,500,30,70,0.021169934421777725,0.1136616300791502,0.01996433362364769,0.4836462512612343,0.6384421493858099,0.057499999999999996,0.022499999999999964
400,500,30,71,0.01957731321454048,0.11761176399886608,0.030293259769678116,0.6666493099182844,0.8341316469013691,0.04249999999999998,0.012499999999999956
400,500,30,72,0.020780352875590324,0.11856545507907867,0.02297535538673401,0.48985939659178257,0.6521805599331856,0.057499999999999996,0.025000000000000022
400,500,30,73,0.020711563527584076,0.12101435475051403,0.015698079019784927,0.4807908497750759,0.638214847072959,0.06000000000000005,0.01749999999999996
400,500,30,74,0.021527934819459915,0.12231296673417091,0.03188225254416466,0.4695016797631979,0.6452248338609934,0.10999999999999999,0.007499999999999951
