# T,H,StageI_mean,StageI_lower,StageI_upper,StageII_mean,StageII_lower,StageII_upper,StageII10_mean,StageII10_lower,StageII10_upper
2.000000000000000000e+02,3.000000000000000000e+01,1.816666666666667124e-02,2.999999999999999195e-03,3.000000000000002665e-03,7.500000000000001457e-03,2.166666666666667435e-03,2.166666666666667435e-03,6.666666666666667095e-03,2.000000000000000909e-03,2.166666666666666567e-03
2.000000000000000000e+02,4.000000000000000000e+01,4.666666666666667053e-03,1.500000000000000031e-03,1.500000000000001332e-03,1.666666666666666774e-03,1.000000000000000021e-03,1.166666666666666330e-03,1.666666666666666774e-03,1.000000000000000021e-03,1.166666666666666330e-03
2.000000000000000000e+02,5.000000000000000000e+01,2.166666666666666134e-03,9.999999999999993703e-04,1.166666666666667414e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,6.000000000000000000e+01,1.666666666666666611e-04,1.666666666666666611e-04,3.333333333333333764e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,7.000000000000000000e+01,5.000000000000000104e-04,5.000000000000000104e-04,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,8.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,9.000000000000000000e+01,1.666666666666666611e-04,1.666666666666666611e-04,3.333333333333333764e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+02,1.000000000000000000e+01,2.174444444444444680e-01,2.322222222222214416e-02,2.600000000000002309e-02,1.695555555555555705e-01,2.278055555555558165e-02,2.711388888888882631e-02,1.328888888888888897e-01,2.077777777777779777e-02,2.678055555555552969e-02
3.000000000000000000e+02,2.000000000000000000e+01,5.111111111111110716e-02,4.777777777777755808e-03,4.777777777777783563e-03,2.300000000000000308e-02,2.888888888888892226e-03,2.999999999999995726e-03,2.022222222222221782e-02,2.777777777777778317e-03,2.888888888888895695e-03
3.000000000000000000e+02,3.000000000000000000e+01,1.377777777777777594e-02,2.444444444444445266e-03,2.333333333333331358e-03,4.888888888888887063e-03,1.555555555555554383e-03,1.666666666666666123e-03,4.222222222222221828e-03,1.333333333333333939e-03,1.333333333333333072e-03
